"# Legacy Portal ""Directory"" data source.",,,,
#,,,,
# Edit this file to add, rename, remove, or re-nest phone/bleep numbers, then
# rebuild the page with:,,,,
#   node generate-legacy-portal.cjs,,,,
#,,,,
# Columns: Path,Type,Number,Notes,
"#   Path   Name of the entry. Use "" > "" to nest it under a parent group", e.g.,,,
"#          ""Theatres > E Level > Theatre 1"" nests a ""Theatre 1"" entry inside",,,,
"#          an ""E Level"" group inside a ""Theatres"" group. Any depth works.",,,,
"#   Type   ""phone"" or ""bleep"". Controls the colour and label (Ext/Bleep) shown",,,,
"#          next to the number. Leave blank for ""phone"".",,,,
"#   Number Extension or bleep number. Leave blank (or ""XXXX"") for ""not yet",,,,
"#          set"" - it will show as TBC instead of a dead tap-to-call link.",,,,
#   Notes  Optional short note shown under the entry," e.g. ""internal only"".",,,
"#          Wrap in ""quotes"" if it contains a comma.",,,,
#,,,,
"# The row named exactly ""Switchboard"" is special - it drives the tap-to-call",,,,
# QR banner at the top of the Directory page instead of appearing in the,,,,
# list below. If you change its number, also regenerate the QR code:,,,
#   python3 generate-directory-qr.py,,,,
#,,,,
Path,Type,Number,Notes,
Switchboard,phone,02392286000,,
Switchboard (emergency from mobile phone),phone,02392208001,,
ITU > Nurse in Charge,bleep,1663,,
ITU > Outreach,bleep,1676,,
ITU > Registrar,bleep,1987,,
ITU > West,phone,6385,,
ITU > East,phone,6852,,
Blood Bank / Transfusion,phone,6539,,
Anaesthetics> Consultant,bleep,1622,,
Anaesthetics> Registrar,bleep,1636,,
Anaesthetics> SHO,bleep,1611,,
ODPs> Maternity Emergency,bleep,1336,,
ODPs> Maternity Emergency (for E Level operating only),bleep,1675,,
ODPs> Coordinator/CEPOD (OOH),bleep,1702,,
ODPs> Airway Emergency,bleep,1380,,
ODPs > Coordinators Office,phone,4882,,
ODPs > Sue/Nadine,phone,6287,,
ODPs > Team Leaders/Den,phone,4886,,
Theatres > E Level > Theatre 1,phone,6779,,
Theatres > E Level > Theatre 2,phone,6776,,
Theatres > E Level > Theatre 3,phone,1273,,
Theatres > E Level > Theatre 4,phone,6777,,
Theatres > E Level > Theatre 5,phone,1274,,
Theatres > E Level > Theatre 6,phone,6778,,
Theatres > E Level > Theatre 7,phone,6780,,
Theatres > E Level > Theatre 8,phone,4860,,
Theatres > E Level > Theatre 9,phone,4863,,
Theatres > E Level > Theatre 10,phone,4864,,
Theatres > E Level > Theatre 11,phone,4861,,
Theatres > E Level > Theatre 12,phone,4862,,
Theatres > E Level > Theatre 13,phone,4858,,
Theatres > E Level > Theatre 14,phone,4859,,
Theatres > E Level > Theatre 15,phone,6905,,
Theatres > E Level > Theatre 16,phone,6085,,
Theatres > E Level > Theatre 17,phone,4866,,
Theatres > E Level > Theatre 18,phone,4865,,
Theatres > E Level > Theatre 19,phone,4869,,
Theatres > E Level > Theatre 20,phone,4870,,
Theatres > E Level > Theatre 21,phone,4867,,
Theatres > E Level > Theatre 22,phone,4868,,
Theatres > D Level > Theatre 1,phone,6653,,
Theatres > D Level > Theatre 2,phone,1271,,
Theatres > D Level > Theatre 3,phone,4871,,
Theatres > D Level > Theatre 4,phone,4872,,
Theatres > D Level > Theatre 5,phone,1272,,
Theatres > D Level > Theatre 6,phone,6654,,
Theatres > D Level > Theatre 7,phone,6652,,
Theatres > Maternity > Theatre 1 (Elective),phone,4521,,
Theatres > Maternity > Theatre 2 (Emergencies),phone,4525,,
Theatres > Maternity > Theatre Office,phone,4526,,
Theatres > Recovery > E Level,phone,4873,,
Theatres > Recovery > Paeds,phone,4856,,
Theatres > Recovery > D Level,phone,6129,,
ED > Majors,phone,6336,,
CAU > CAU,phone,3344,,
